設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,,80292,256,13,942,93,11,232,514,125,1222,43,22,16,479,343,630,17,52,270,721,7.47397000946545,0.31883624769591,0.016190903203308,1.17321775519354,0.11582723060828,0.013699995018184,0.288945349474418,0.640163403576944,0.155681761570269,1.52194490111095,0.053554525980172,0.027399990036367,0.019927265480994,0.596572510337269,0.427190753748817,0.784636078314153,0.021172719573557,0.064763612813232,0.33627260499178,0.897972400737309
國立,新北市,530,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.38,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0.19,0,0
國立,臺北市,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0.49,0
國立,桃園市,7085,4,0,18,0,1,7,10,11,49,4,0,1,35,33,4,1,5,16,23,3.13,0.06,0,0.25,0,0.01,0.1,0.14,0.16,0.69,0.06,0,0.01,0.49,0.47,0.06,0.01,0.07,0.23,0.32
國立,臺中市,11962,12,0,186,8,1,38,48,3,174,5,2,3,105,58,31,6,7,39,111,7,0.1,0,1.55,0.07,0.01,0.32,0.4,0.03,1.45,0.04,0.02,0.03,0.88,0.48,0.26,0.05,0.06,0.33,0.93
國立,臺南市,10855,23,1,134,21,2,20,43,18,105,6,3,4,19,56,104,1,3,39,89,6.37,0.21,0.01,1.23,0.19,0.02,0.18,0.4,0.17,0.97,0.06,0.03,0.04,0.18,0.52,0.96,0.01,0.03,0.36,0.82
國立,高雄市,4684,4,0,46,7,1,8,17,6,57,3,0,1,41,2,53,1,0,16,48,6.64,0.09,0,0.98,0.15,0.02,0.17,0.36,0.13,1.22,0.06,0,0.02,0.88,0.04,1.13,0.02,0,0.34,1.02
國立,宜蘭縣,4003,9,1,18,5,0,30,54,8,128,4,5,2,46,19,16,3,3,22,28,10.02,0.22,0.02,0.45,0.12,0,0.75,1.35,0.2,3.2,0.1,0.12,0.05,1.15,0.47,0.4,0.07,0.07,0.55,0.7
國立,新竹縣,1548,1,0,4,0,0,2,3,0,15,0,0,0,2,7,6,0,0,0,2,2.71,0.06,0,0.26,0,0,0.13,0.19,0,0.97,0,0,0,0.13,0.45,0.39,0,0,0,0.13
國立,苗栗縣,3053,13,0,16,1,0,8,4,3,27,0,4,0,5,5,16,1,1,14,30,4.85,0.43,0,0.52,0.03,0,0.26,0.13,0.1,0.88,0,0.13,0,0.16,0.16,0.52,0.03,0.03,0.46,0.98
國立,彰化縣,8865,31,1,318,9,5,31,78,21,161,1,1,3,33,64,7,1,9,14,109,10.12,0.35,0.01,3.59,0.1,0.06,0.35,0.88,0.24,1.82,0.01,0.01,0.03,0.37,0.72,0.08,0.01,0.1,0.16,1.23
國立,南投縣,3680,34,0,24,2,0,10,62,8,100,4,0,0,24,9,28,0,0,37,26,10,0.92,0,0.65,0.05,0,0.27,1.68,0.22,2.72,0.11,0,0,0.65,0.24,0.76,0,0,1.01,0.71
國立,雲林縣,3610,38,1,50,4,0,13,29,4,26,1,0,0,27,17,40,0,5,21,47,8.95,1.05,0.03,1.39,0.11,0,0.36,0.8,0.11,0.72,0.03,0,0,0.75,0.47,1.11,0,0.14,0.58,1.3
國立,嘉義縣,1021,5,0,12,0,0,6,1,1,20,2,1,0,9,0,24,0,0,1,19,9.89,0.49,0,1.18,0,0,0.59,0.1,0.1,1.96,0.2,0.1,0,0.88,0,2.35,0,0,0.1,1.86
國立,屏東縣,4197,33,3,41,6,0,14,35,8,92,2,1,0,75,17,116,0,4,9,45,11.94,0.79,0.07,0.98,0.14,0,0.33,0.83,0.19,2.19,0.05,0.02,0,1.79,0.41,2.76,0,0.1,0.21,1.07
國立,臺東縣,1431,19,0,3,10,0,14,16,3,33,0,1,0,14,11,47,2,1,6,19,13.91,1.33,0,0.21,0.7,0,0.98,1.12,0.21,2.31,0,0.07,0,0.98,0.77,3.28,0.14,0.07,0.42,1.33
國立,花蓮縣,2159,15,5,18,10,0,11,48,3,98,0,2,0,3,23,48,0,6,11,41,15.84,0.69,0.23,0.83,0.46,0,0.51,2.22,0.14,4.54,0,0.09,0,0.14,1.07,2.22,0,0.28,0.51,1.9
國立,澎湖縣,793,8,1,1,6,0,7,13,2,24,3,1,0,11,1,38,1,2,3,11,16.77,1.01,0.13,0.13,0.76,0,0.88,1.64,0.25,3.03,0.38,0.13,0,1.39,0.13,4.79,0.13,0.25,0.38,1.39
國立,基隆市,1989,0,0,11,1,0,7,34,14,47,1,0,0,2,2,22,0,2,6,23,8.65,0,0,0.55,0.05,0,0.35,1.71,0.7,2.36,0.05,0,0,0.1,0.1,1.11,0,0.1,0.3,1.16
國立,新竹市,2822,0,0,24,1,0,0,6,5,14,3,0,0,13,8,3,0,1,2,7,3.08,0,0,0.85,0.04,0,0,0.21,0.18,0.5,0.11,0,0,0.46,0.28,0.11,0,0.04,0.07,0.25
國立,嘉義市,3928,7,0,16,2,0,6,10,5,38,4,1,2,12,6,12,0,2,5,29,4,0.18,0,0.41,0.05,0,0.15,0.25,0.13,0.97,0.1,0.03,0.05,0.31,0.15,0.31,0,0.05,0.13,0.74
