設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,477,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0.63
國立,臺北市,1295,1,0,1,0,0,0,0,0,5,0,0,0,1,0,4,0,0,2,2,1.24,0.08,0,0.08,0,0,0,0,0,0.39,0,0,0,0.08,0,0.31,0,0,0.15,0.15
國立,桃園市,6439,0,0,35,3,0,8,13,10,38,5,0,0,10,16,5,3,0,16,30,2.98,0,0,0.54,0.05,0,0.12,0.2,0.16,0.59,0.08,0,0,0.16,0.25,0.08,0.05,0,0.25,0.47
國立,臺中市,1523,8,0,2,3,0,2,3,2,103,0,1,0,0,2,0,0,4,3,14,9.65,0.53,0,0.13,0.2,0,0.13,0.2,0.13,6.76,0,0.07,0,0,0.13,0,0,0.26,0.2,0.92
國立,臺南市,9963,19,1,188,7,1,26,33,6,88,7,6,2,57,58,51,1,9,39,86,6.88,0.19,0.01,1.89,0.07,0.01,0.26,0.33,0.06,0.88,0.07,0.06,0.02,0.57,0.58,0.51,0.01,0.09,0.39,0.86
國立,高雄市,4265,16,1,48,10,0,16,21,15,81,3,1,0,13,0,52,1,1,6,16,7.06,0.38,0.02,1.13,0.23,0,0.38,0.49,0.35,1.9,0.07,0.02,0,0.3,0,1.22,0.02,0.02,0.14,0.38
國立,宜蘭縣,3716,7,4,84,8,0,21,50,2,126,2,2,2,6,6,16,3,3,2,37,10.25,0.19,0.11,2.26,0.22,0,0.57,1.35,0.05,3.39,0.05,0.05,0.05,0.16,0.16,0.43,0.08,0.08,0.05,1
國立,新竹縣,1493,0,0,3,0,0,1,0,0,14,3,0,0,0,0,2,0,0,1,8,2.14,0,0,0.2,0,0,0.07,0,0,0.94,0.2,0,0,0,0,0.13,0,0,0.07,0.54
國立,苗栗縣,2909,7,0,16,0,0,9,13,3,47,1,3,0,9,3,11,0,2,23,24,5.88,0.24,0,0.55,0,0,0.31,0.45,0.1,1.62,0.03,0.1,0,0.31,0.1,0.38,0,0.07,0.79,0.83
國立,彰化縣,8381,25,5,282,7,0,25,60,14,106,3,3,0,31,45,6,6,7,63,67,9.01,0.3,0.06,3.36,0.08,0,0.3,0.72,0.17,1.26,0.04,0.04,0,0.37,0.54,0.07,0.07,0.08,0.75,0.8
國立,南投縣,3205,23,0,33,6,0,10,45,4,68,2,1,0,20,18,22,0,1,15,31,9.33,0.72,0,1.03,0.19,0,0.31,1.4,0.12,2.12,0.06,0.03,0,0.62,0.56,0.69,0,0.03,0.47,0.97
國立,雲林縣,3421,36,4,65,1,1,4,21,4,65,0,2,1,21,3,60,0,0,6,56,10.23,1.05,0.12,1.9,0.03,0.03,0.12,0.61,0.12,1.9,0,0.06,0.03,0.61,0.09,1.75,0,0,0.18,1.64
國立,嘉義縣,892,10,0,13,0,1,6,2,1,15,2,0,0,26,0,31,0,0,11,10,14.35,1.12,0,1.46,0,0.11,0.67,0.22,0.11,1.68,0.22,0,0,2.91,0,3.48,0,0,1.23,1.12
國立,屏東縣,3850,61,1,50,5,0,27,37,6,106,2,0,0,31,9,49,1,0,7,41,11.25,1.58,0.03,1.3,0.13,0,0.7,0.96,0.16,2.75,0.05,0,0,0.81,0.23,1.27,0.03,0,0.18,1.06
國立,臺東縣,1238,11,0,6,7,0,10,18,3,47,0,2,0,10,8,40,0,4,6,10,14.7,0.89,0,0.48,0.57,0,0.81,1.45,0.24,3.8,0,0.16,0,0.81,0.65,3.23,0,0.32,0.48,0.81
國立,花蓮縣,1914,8,2,14,11,3,9,24,1,95,1,0,0,4,5,50,0,2,14,31,14.32,0.42,0.1,0.73,0.57,0.16,0.47,1.25,0.05,4.96,0.05,0,0,0.21,0.26,2.61,0,0.1,0.73,1.62
國立,澎湖縣,737,5,1,8,4,0,9,23,1,38,0,0,0,4,0,12,1,2,10,4,16.55,0.68,0.14,1.09,0.54,0,1.22,3.12,0.14,5.16,0,0,0,0.54,0,1.63,0.14,0.27,1.36,0.54
國立,基隆市,1823,1,0,4,5,0,5,14,21,16,1,1,1,15,10,14,0,3,4,12,6.97,0.05,0,0.22,0.27,0,0.27,0.77,1.15,0.88,0.05,0.05,0.05,0.82,0.55,0.77,0,0.16,0.22,0.66
國立,新竹市,2680,0,0,19,1,0,1,6,1,16,0,1,1,0,2,0,0,0,2,7,2.13,0,0,0.71,0.04,0,0.04,0.22,0.04,0.6,0,0.04,0.04,0,0.07,0,0,0,0.07,0.26
國立,嘉義市,3594,7,4,28,3,0,9,2,4,59,1,1,3,15,6,16,2,3,15,24,5.62,0.19,0.11,0.78,0.08,0,0.25,0.06,0.11,1.64,0.03,0.03,0.08,0.42,0.17,0.45,0.06,0.08,0.42,0.67
國立,金門縣,501,1,0,3,5,2,0,1,0,3,0,0,0,0,3,6,0,0,2,5,6.19,0.2,0,0.6,1,0.4,0,0.2,0,0.6,0,0,0,0,0.6,1.2,0,0,0.4,1
國立,連江縣,98,0,0,0,0,0,2,4,0,2,0,0,0,0,0,1,0,0,0,2,11.22,0,0,0,0,0,2.04,4.08,0,2.04,0,0,0,0,0,1.02,0,0,0,2.04
縣市立,新北市,12765,6,0,120,3,0,37,49,8,82,4,2,0,33,31,14,3,9,51,117,4.46,0.05,0,0.94,0.02,0,0.29,0.38,0.06,0.64,0.03,0.02,0,0.26,0.24,0.11,0.02,0.07,0.4,0.92
縣市立,臺北市,18953,6,0,27,0,0,5,7,0,80,2,2,0,14,15,1,1,5,13,4,0.96,0.03,0,0.14,0,0,0.03,0.04,0,0.42,0.01,0.01,0,0.07,0.08,0.01,0.01,0.03,0.07,0.02
縣市立,桃園市,3256,0,0,4,0,0,1,6,2,8,1,1,0,1,0,0,1,0,2,4,0.95,0,0,0.12,0,0,0.03,0.18,0.06,0.25,0.03,0.03,0,0.03,0,0,0.03,0,0.06,0.12
縣市立,臺中市,11878,8,2,173,9,3,26,67,8,107,17,6,1,59,53,11,2,5,16,55,5.29,0.07,0.02,1.46,0.08,0.03,0.22,0.56,0.07,0.9,0.14,0.05,0.01,0.5,0.45,0.09,0.02,0.04,0.13,0.46
縣市立,臺南市,595,0,0,2,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,2.35,0,0,0.34,0,0,0,0,0,0.17,0,0,0,0,0,1.68,0,0,0.17,0
縣市立,高雄市,10866,1,0,65,19,0,46,17,25,70,5,5,1,22,16,45,9,2,84,2,3.99,0.01,0,0.6,0.17,0,0.42,0.16,0.23,0.64,0.05,0.05,0.01,0.2,0.15,0.41,0.08,0.02,0.77,0.02
縣市立,宜蘭縣,64,0,0,4,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,2,39.06,0,0,6.25,0,0,0,1.56,0,0,0,0,0,0,0,28.13,0,0,0,3.13
縣市立,新竹縣,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0
縣市立,苗栗縣,575,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,5,7,5.04,0,0,1.04,0,0,0,0,0,1.22,0,0,0,0.7,0,0,0,0,0.87,1.22
縣市立,彰化縣,839,0,0,2,0,0,1,2,0,7,0,0,0,0,4,6,0,0,0,0,2.62,0,0,0.24,0,0,0.12,0.24,0,0.83,0,0,0,0,0.48,0.72,0,0,0,0
縣市立,南投縣,226,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.77,0,0,0.88,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0
縣市立,雲林縣,378,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.5,2.12,0.26,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53
縣市立,嘉義縣,205,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2.44,0.49,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0
縣市立,屏東縣,543,0,1,0,0,0,1,2,0,1,0,0,0,1,2,12,0,0,1,0,3.87,0,0.18,0,0,0,0.18,0.37,0,0.18,0,0,0,0.18,0.37,2.21,0,0,0.18,0
縣市立,臺東縣,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6.82,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,2.27,0,0,0,2.27
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1.86,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0.53,0
縣市立,新竹市,843,0,0,1,0,0,0,3,1,2,0,1,0,0,0,2,0,0,1,1,1.42,0,0,0.12,0,0,0,0.36,0.12,0.24,0,0.12,0,0,0,0.24,0,0,0.12,0.12
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,14140,5,12,202,6,5,53,282,75,769,57,14,4,129,80,26,16,23,239,407,17,0.04,0.08,1.43,0.04,0.04,0.37,1.99,0.53,5.44,0.4,0.1,0.03,0.91,0.57,0.18,0.11,0.16,1.69,2.88
私立,臺北市,12534,2,0,23,9,2,25,206,109,763,25,29,15,152,33,8,5,32,169,329,15.45,0.02,0,0.18,0.07,0.02,0.2,1.64,0.87,6.09,0.2,0.23,0.12,1.21,0.26,0.06,0.04,0.26,1.35,2.62
私立,桃園市,15026,13,10,264,56,2,92,223,228,642,33,10,4,378,135,70,12,21,142,290,17.47,0.09,0.07,1.76,0.37,0.01,0.61,1.48,1.52,4.27,0.22,0.07,0.03,2.52,0.9,0.47,0.08,0.14,0.95,1.93
